"TimeUTC","timestampInMs","requestPath","requestMethod","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","lambdaDurationInMs","lambdaRegion","lambdaMaxMemoryUsed","lambdaMemorySize","message","projectId","projectName"
"2023-11-05 04:21:09",1699158069646,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",401,"iad1::iad1::vmw9m-1699158069638-e09aa74b9457","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","preview","-","BYPASS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",5.44,"iad1",117,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 04:21:07",1699158067760,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",401,"iad1::iad1::2kwrp-1699158067756-5a4b3c490779","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","preview","-","BYPASS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",5.86,"iad1",117,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 04:21:07",1699158067705,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","OPTIONS",204,"iad1::iad1::c8mkf-1699158067702-80ff2c11483a","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","info","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",9.17,"iad1",117,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 04:21:04",1699158064656,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",401,"iad1::iad1::482s2-1699158064653-bb6d2a08d13f","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","preview","-","BYPASS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",75.84,"iad1",117,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 04:21:00",1699158060691,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",401,"iad1::iad1::vmmwk-1699158060687-63726a50b8c6","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","preview","-","BYPASS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",19.52,"iad1",117,1024,"MongoDB connected: ac-6wvgfcz-shard-00-02.fy7bt3j.mongodb.net
","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 04:21:00",1699158060548,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","OPTIONS",204,"iad1::iad1::wvc6q-1699158060545-f18101e251f2","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","info","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",96.82,"iad1",117,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 04:20:40",1699158040010,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",401,"iad1::iad1::wvc6q-1699158040006-7e2ee2e917ce","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","warning","preview","-","BYPASS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",41.73,"iad1",116,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 04:20:38",1699158038456,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","OPTIONS",204,"iad1::iad1::rh222-1699158038452-0eda316535fb","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","info","preview","-","MISS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",58.95,"iad1",115,1024,"Legacy server listening...
","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:59:29",1699156769084,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",304,"iad1::iad1::nwsbl-1699156769081-54282e82b1d3","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","info","preview","-","BYPASS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",89.6,"iad1",56,1024,"-","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
"2023-11-05 03:59:26",1699156766019,"notes-app-backend-1bu274ngw-maninthehood.vercel.app/api/all","GET",200,"iad1::iad1::pbw6d-1699156766018-c5a3c222b99a","['Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36']","info","preview","-","BYPASS","lambda","/server.js","notes-app-backend-1bu274ngw-maninthehood.vercel.app","notes-app-backend-1bu274ngw-maninthehood.vercel.app","dpl_4LDRGqXEngHTmUEYavLWK3WU41sj",171.12,"iad1",56,1024,"MongoDB connected: ac-6wvgfcz-shard-00-01.fy7bt3j.mongodb.net
","prj_xE7vKFIHAakq3wqKjR9wsmAS0PAZ",""
